time,theta,dtheta,theta_cov,dtheta_cov
0.006,0.784108576773547,-0.0844089762366481,0.0100173304535614,0.00822258329649963
0.011,0.788595487571309,-0.149243027106923,0.0100223017301142,0.006884099024765
0.016,0.779029463170227,-0.224808486969066,0.0100346845465025,0.00568766403276257
0.021,0.785679262362222,-0.287468777919955,0.0100531048156784,0.00461033915950257
0.026,0.794790652323451,-0.349218152145541,0.0100759685130854,0.00366194216467234
0.031,0.792842936526416,-0.41778856691337,0.010101857527284,0.00283692387190258
0.036,0.790115331718362,-0.486105718589937,0.0101295372300624,0.00212121619339593
0.041,0.7883573706683,-0.553379298250398,0.0101577192481948,0.00151174727359083
0.046,0.7910636180198,-0.618769380011888,0.0101851094256021,0.0010072433490845
0.051,0.789738951248966,-0.68534590642162,0.0102104026770811,0.000607797711662529
0.056,0.785225150596394,-0.752157669666962,0.0102323534893278,0.000310044881651684
0.061,0.781957161342584,-0.818117397680563,0.0102496931595972,0.000112632606933522
0.066,0.777970942033194,-0.883604532315268,0.0102611196329274,1.58274858715282e-05
0.071,0.773996228495203,-0.948550355455496,0.010265340257107,1.95066865770754e-05
0.076,0.769754179126882,-1.01296286662382,0.0102610649169611,0.0001235989642226
0.081,0.763272069003702,-1.07647765001853,0.0102470230112583,0.000327846396862377
0.086,0.757549815659587,-1.13942361640107,0.0102219672780049,0.000632392937547404
0.091,0.753248839122903,-1.20221609946052,0.0101846849634628,0.00103641320739342
0.096,0.744942478691643,-1.2630765484321,0.0101340487206755,0.00153780973783781
0.101,0.741862505164371,-1.32546348018974,0.0100690087662064,0.00213657159921039
0.106,0.727247169435603,-1.38159231227419,0.00998864578978071,0.00282676973363317
0.111,0.718780624473304,-1.43972578896741,0.00989211708496152,0.00361287301715657
0.116,0.704869181550257,-1.49336396666057,0.00977871830539061,0.00448683323079568
0.121,0.683997504417285,-1.54019178761626,0.00964791829076902,0.00544827104542294
0.126,0.660029237462506,-1.58185044812702,0.00949927877421508,0.00649849157021805
0.131,0.642677948107782,-1.62641039516037,0.00933250984340023,0.00763496697180382
0.136,0.636439470997004,-1.679843040556,0.00914763815531863,0.00884395496402359
0.141,0.628940298190922,-1.73163993702559,0.00894514164069343,0.0101041784754402
0.146,0.61964222620332,-1.78092180130864,0.00872582130226395,0.0114054976664822
0.151,0.613734078311536,-1.83365510219895,0.00849071263398209,0.012738041954185
0.156,0.571400713216661,-1.83855813997232,0.00824113025203439,0.0140855575230587
0.161,0.554738783364255,-1.87301555211112,0.00797817801172729,0.015478964665607
0.166,0.532831726257665,-1.89776090979209,0.00770333558844921,0.0168758964843825
0.171,0.503085203371844,-1.90730156126335,0.00741832022277923,0.0182696836480939
0.176,0.493631031138441,-1.94625874296209,0.00712489232993283,0.0196563841286619
0.181,0.483992989696813,-1.98425502727423,0.00682509684288168,0.0210013137272825
0.186,0.472645709690322,-2.01844110045765,0.00652107172928185,0.0222938355621435
0.191,0.458630653684775,-2.04647926861621,0.00621490815616689,0.0235262347608979
0.196,0.450774315003556,-2.08568402397898,0.00590859853609099,0.0246930328403114
0.201,0.416277695971668,-2.06739693490214,0.00560406780114497,0.0257810750042948
0.206,0.36785258485516,-2.01200248196448,0.00530293215754679,0.0268106700838529
0.211,0.354743802853227,-2.03113538417338,0.00500656436807734,0.0277858816923778
0.216,0.320787070855012,-1.99732263919387,0.00471638854022934,0.0286712803892064
0.221,0.304410337692332,-2.00284754710187,0.00443362081736901,0.0294800038999184
0.226,0.274437194491781,-1.96938762427819,0.00415934377154253,0.0301974313387569
0.231,0.269974378847931,-2.00242484729911,0.00389443106339897,0.0308318133788726
0.236,0.261543012953474,-2.02434796319505,0.00363963284913201,0.031369280105399
0.241,0.228193338568935,-1.96931797941193,0.00339552074924116,0.0318153744282936
0.246,0.225652667241486,-2.006169873177,0.00316243573696794,0.0321853666140752
0.251,0.214256829621213,-2.01464497723693,0.00294061193237679,0.0324683824590448
0.256,0.185141285477338,-1.96032711472506,0.00273014801665596,0.032673123372292
0.261,0.185218409382404,-2.00544458421049,0.0025309949655657,0.0328103205055131
0.266,0.176472354282222,-2.01942645115075,0.00234303015438774,0.0328746377687729
0.271,0.151012979979538,-1.96742105332345,0.00216604673709403,0.0328743816329349
0.276,0.137446309815164,-1.95821482516408,0.00199975197497795,0.032818819443568
0.281,0.122142004240855,-1.93954433654393,0.00184380510851569,0.0327092437319323
0.286,0.112925658112532,-1.94500285277555,0.00169782851098031,0.0325505805917326
0.291,0.108932840651835,-1.97375576911644,0.00156141710324578,0.0323462582083369
0.296,0.0986957488551545,-1.97388763432062,0.00143414783175308,0.0321000379619089
0.301,0.0842565150668192,-1.95204381864093,0.00131558415109101,0.0318171216980464
