timestamp, displacement_truth, speed_noisy, speed_truth, acc_truth
0.006000,0.5233931219600915,-0.19691446806902457,-0.05871652493516667,-9.756183418959813
0.011000,0.5229533783227598,0.3194836544258187,-0.10740617706673147,-9.709760546364949
0.016000,0.522270898543327,-1.1521408798603323,-0.15585583033509476,-9.659401886716994
0.021000,0.5213469415238003,0.6207878204197356,-0.20404587034780997,-9.605139683486863
0.026000,0.5201828637550246,1.0337741804228724,-0.25195684366955085,-9.5470060566982
0.031000,0.5187801185136078,-0.4478154984803838,-0.29956945727542916,-9.485033039476773
0.036000,0.5171402550610071,-0.5960591063307382,-0.3468645781996052,-9.41925262081294
0.041000,0.5152649178437081,-0.4162776144446451,-0.3938232334096485,-9.34969679422954
0.046000,0.5131558456932768,0.7476761064730109,-0.44042660993553145,-9.276397612030417
0.051000,0.5108148710249338,-0.11658381075313529,-0.48665605528048583,-9.199387244788728
0.056000,0.5082439190331609,-1.2425187090325776,-0.5324930781392121,-9.118698045718716
0.061000,0.5054450068827326,-0.4451213076799017,-0.5779193494471248,-9.034362619560055
0.066000,0.5024202428934528,-0.6379362754446882,-0.6229167037824315,-8.94641389559033
0.071000,0.49917182571676777,-1.887407695224751,-0.6674671411408983,-8.854885204368287
0.076000,0.4957020435023429,-1.3787808053273136,-0.7115528291011394,-8.759810357798747
0.081000,0.49201327305259884,-0.45031459141963837,-0.7551561053962053,-8.661223732099103
0.086000,0.48810797896313535,-1.0317464873828819,-0.7982594809051202,-8.559160353237392
0.091000,0.48398871274690675,-1.5474379491619683,-0.8408456430758532,-8.45365598440302
0.096000,0.47965811193996444,-0.7968297162117567,-0.8828974597889934,-8.34474721506347
0.101000,0.4751188991865394,-1.8840121969893964,-0.9243979836691574,-8.232471551153527
0.106000,0.4703738813012124,-0.17948143019341056,-0.9653304568488749,-8.116867505938218
0.111000,0.46542594830589984,-1.231520380810336,-1.0056783161873954,-7.997974691086274
0.116000,0.46027807243938074,-0.6851092641162575,-1.045425198944539,-7.875833907488131
0.121000,0.4549333071370938,-0.06763896451824714,-1.0845549489073754,-7.750487235350884
0.126000,0.4493947859789547,0.06475112005260031,-1.1230516229651892,-7.621978123102526
0.131000,0.44366572160297074,-0.7381860513489489,-1.1608994981258312,-7.490351474639242
0.136000,0.4377494045824731,-1.8467486195782525,-1.1980830789642554,-7.35565373445249
0.141000,0.43164920226483944,-1.806572852814112,-1.2345871054917141,-7.217932970177242
0.146000,0.425368557569644,-1.73023915821507,-1.2703965614318111,-7.077238952109014
0.151000,0.4189109877442479,-2.0609410763505727,-1.3054966828873664,-6.933623229245406
0.156000,0.4122800830749302,0.5855187937954143,-1.339872967379838,-6.787139201417624
0.161000,0.40547950555175627,-1.3446571958159372,-1.3735111832409037,-6.637842187089102
0.166000,0.39851298748548997,-1.0345610282431033,-1.4063973793337128,-6.485789486411808
0.171000,0.3913843300749742,-0.5441850998691774,-1.4385178950792978,-6.3310404391461095
0.176000,0.3840974019235319,-1.9516994716144338,-1.4698593707617094,-6.173656477067276
0.181000,0.37665613750307864,-1.9903359539458445,-1.5004087580835783,-6.013701170500724
0.186000,0.3690645355647836,-1.9262543864989845,-1.5301533309420683,-5.851240268648997
0.191000,0.3613266574952721,-1.7939818454633418,-1.559080696393539,-5.686341733396165
0.196000,0.35344662561752455,-2.238569958449748,-1.5871788057737177,-5.519075766299773
0.201000,0.34542862143579717,-0.5131410745042031,-1.6144359659387775,-5.349514828506686
0.206000,0.33727688382406884,0.46449549230397125,-1.6408408505914602,-5.1777336533569365
0.211000,0.3289957071576968,-1.8309566179740944,-1.6663825116552584,-5.0038092514690735
0.216000,0.3205894393881565,-0.41382820209998594,-1.6910503906586976,-4.827820908131276
0.221000,0.31206248006093046,-1.5707927703131122,-1.714834330090952,-4.649850172854724
0.226000,0.30341927827680715,-0.5937721630136661,-1.7377245846893663,-4.469980840978904
0.231000,0.29466433059705044,-2.381733515272432,-1.7597118326189816,-4.288298927253055
0.236000,0.28580217889309967,-2.138502176174354,-1.7807871865038456,-4.104892631353141
0.241000,0.2768374081416629,-0.2453900945991676,-1.800942204269768,-3.9198522953297714
0.246000,0.267774644166267,-2.564697085646978,-1.8201688997582177,-3.733270353019013
0.251000,0.2586185513265287,-1.9069032353474424,-1.8384597530713043,-3.545241271484901
0.256000,0.249373830156611,-0.40510550544874,-1.8558077206081982,-3.3558614845995
0.261000,0.24004521495452433,-2.841868552796067,-1.872206244753945,-3.1652293189032563
0.266000,0.23063747132412682,-2.1321044454208042,-1.887649263182423,-2.9734449119251063
0.271000,0.2211553936718639,-0.5614279901371237,-1.9021312177361607,-2.7806101231778957
0.276000,0.2116038026604727,-1.602421980695137,-1.9156470628468716,-2.586828438080105
0.281000,0.2019875426220524,-1.3904324587467611,-1.9281922734619061,-2.3922048650893797
0.286000,0.1923114789330714,-1.9951361720809457,-1.939762852443294,-2.196845826366577
0.291000,0.18258049535404436,-2.5989354338144603,-1.9503553374077252,-2.0008590423210313
0.296000,0.17279949133676434,-1.9317590050757043,-1.9599668069776215,-1.804353410417983
0.301000,0.16297337930211925,-1.403080810534163,-1.9685948864154215,-1.6074388786576181
0.306000,0.1531070818916547,-1.797049031441771,-1.9762377526152934,-1.4102263141616858
0.311000,0.14320552919616775,-1.49268048797027,-1.9828941384287315,-1.212827367327929
0.316000,0.13327365596472657,-2.116744234458867,-1.9885633363028241,-1.015354332034546
0.321000,0.12331639879761008,-2.722229725599237,-1.9932452012124469,-0.8179200023963373
